[1013/002525.030:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1013/100219.269:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100224.284:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100229.299:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100234.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100239.325:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100244.338:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100249.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100254.357:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100259.366:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100304.373:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100309.395:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100314.405:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100319.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100324.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100329.433:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100334.452:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100339.468:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100344.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100349.481:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100354.494:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100359.509:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100404.527:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100409.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100414.540:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100419.553:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100424.558:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100429.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100434.594:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100439.607:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100444.622:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1013/100449.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
